Word,Id
all,0
the,1
and,2
it,3
s,4
a,5
for,6
good,7
do,8
nt,9
give,10
up,11
most,12
are,13
found,14
i,15
did,16
have,17
an,18
if,19
you,20
like,21
him,22
tell,23
that,24
to,25
they,26
or,27
as,28
in,29
want,30
out,31
who,32
from,33
her,34
school,35
florida,36
these,37
same,38
their,39
no,40
m,41
not,42
sure,43
why,44
has,45
of,46
he,47
is,48
see,49
how,50
his,51
anything,52
with,53
``,54
by,55
best,56
be,57
on,58
your,59
time,60
go,61
well,62
this,63
country,64
still,65
some,66
into,67
when,68
its,69
will,70
make,71
really,72
dont,73
know,74
find,75
we,76
lot,77
then,78
now,79
month,80
me,81
just,82
much,83
need,84
would,85
without,86
think,87
she,88
already,89
also,90
too,91
2,92
there,93
can,94
about,95
great,96
u,97
look,98
made,99
which,100
work,101
them,102
help,103
what,104
was,105
first,106
again,107
had,108
yes,109
3,110
take,111
try,112
little,113
year,114
public,115
off,116
my,117
only,118
but,119
where,120
us,121
hope,122
am,123
world,124
could,125
more,126
back,127
years,128
one,129
very,130
get,131
three,132
day,133
those,134
use,135
money,136
keep,137
between,138
states,139
here,140
around,141
life,142
big,143
own,144
race,145
may,146
other,147
both,148
months,149
called,150
new,151
right,152
end,153
at,154
believe,155
been,156
got,157
until,158
care,159
say,160
house,161
should,162
support,163
during,164
things,165
going,166
so,167
any,168
because,169
used,170
job,171
high,172
than,173
even,174
two,175
bill,176
people,177
far,178
health,179
days,180
love,181
each,182
next,183
being,184
children,185
water,186
were,187
put,188
many,189
however,190
away,191
never,192
every,193
something,194
such,195
over,196
down,197
before,198
way,199
state,200
business,201
part,202
another,203
does,204
home,205
against,206
come,207
thing,208
please,209
through,210
family,211
after,212
under,213
few,214
said,215
long,216
let,217
last,218
law,219
1,220
party,221
better,222
man,223
our,224
week,225
million,226
while,227
media,228
percent,229
since,230
government,231
says,232
office,233
including,234
police,235
republican,236
news,237
saturday,238
told,239
mr,240
president,241
campaign,242
district,243
